"expc","educ","ypc","sexo"
31,"5",277738,"1"
337,"1",236373,"1"
421,"8",285001,"1"
25,"1",245000,"1"
124,"3",470000,"2"
144,"0",286167,"1"
284,"6",272483,"2"
445,"5",190459,"2"
83,"5",234561,"2"
97,"5",540083,"1"
17,"4",1158334,"2"
92,"11",306867,"2"
428,"0",287586,"2"
292,"3",252500,"1"
117,"5",478130,"2"
1413,"5",707095,"1"
125,"10",1170000,"1"
193,"12",1068714,"1"
32,"1",157504,"2"
74,"5",7e+05,"1"
290,"0",122606,"2"
117,"9",515000,"2"
78,"1",237529,"1"
120,"5",220061,"2"
27,"2",171598,"1"
74,"3",183333,"1"
137,"2",232303,"2"
344,"5",305827,"1"
50,"0",346212,"2"
126,"2",453333,"1"
112,"3",2e+05,"2"
77,"6",5e+05,"1"
67,"1",229202,"1"
299,"0",191667,"1"
53,"3",152500,"1"
30,"6",132894,"2"
94,"2",186851,"1"
111,"5",372083,"1"
256,"8",324439,"2"
1413,"1",707095,"1"
47,"0",169263,"2"
326,"8",222524,"2"
567,"9",351458,"2"
32,"0",250716,"2"
175,"0",188807,"2"
288,"1",246625,"1"
136,"3",110000,"2"
120,"4",105002,"2"
126,"1",425000,"2"
107,"5",323545,"1"
53,"0",72323,"2"
444,"5",258098,"1"
100,"8",237754,"2"
78,"1",390273,"2"
83,"0",237205,"2"
82,"1",185219,"1"
118,"5",310328,"1"
23,"0",262323,"2"
135,"3",50000,"2"
53,"6",183910,"1"
68,"1",195000,"1"
105,"1",160510,"1"
47,"5",283333,"1"
119,"1",246000,"2"
1087,"5",645917,"1"
72,"1",98121,"2"
74,"1",130327,"1"
261,"1",133333,"2"
85,"8",506561,"1"
103,"2",219852,"2"
159,"0",352175,"2"
86,"4",202585,"2"
56,"0",279324,"2"
75,"6",83223,"1"
152,"12",1613889,"1"
333,"1",260500,"2"
139,"1",502500,"2"
35,"11",136459,"1"
60,"7",208400,"2"
67,"11",690278,"1"
26,"2",193571,"2"
14,"5",179676,"2"
92,"5",223600,"1"
522,"1",121667,"1"
158,"5",305554,"2"
183,"5",235870,"2"
345,"6",183775,"2"
468,"3",49388,"2"
144,"0",329824,"2"
157,"5",251000,"2"
275,"1",297954,"1"
89,"3",375000,"1"
136,"2",157500,"2"
27,"1",100592,"1"
84,"3",195438,"2"
160,"9",163333,"1"
248,"1",291617,"2"
345,"5",260333,"2"
13,"5",455000,"2"
141,"10",641042,"2"
99,"9",1523167,"1"
71,"6",202584,"2"
48,"1",109108,"1"
98,"1",82219,"2"
957,"5",298750,"1"
40,"5",345000,"1"
66,"2",485815,"2"
141,"9",742611,"1"
376,"11",550000,"1"
457,"5",488628,"1"
58,"4",371333,"1"
56,"1",149129,"1"
83,"8",650000,"1"
326,"8",174711,"2"
155,"7",372417,"1"
72,"5",252833,"1"
40,"9",228000,"1"
77,"5",100165,"1"
204,"3",296435,"1"
85,"3",131072,"1"
182,"5",211081,"1"
26,"2",149061,"2"
297,"1",2e+05,"2"
131,"1",85245,"2"
197,"6",177588,"2"
369,"6",475834,"1"
56,"1",162603,"2"
106,"1",189323,"2"
82,"1",136917,"1"
134,"4",236667,"1"
54,"1",227505,"1"
71,"11",399778,"2"
152,"6",105790,"1"
29,"5",267500,"2"
85,"8",266842,"2"
93,"1",379473,"1"
132,"5",270000,"2"
415,"9",120000,"2"
105,"2",352000,"2"
25,"1",2123751,"1"
75,"2",489932,"2"
101,"5",159616,"2"
203,"0",122133,"1"
64,"2",239221,"2"
84,"12",1400000,"2"
56,"10",215890,"2"
84,"3",881625,"2"
116,"3",234631,"2"
112,"5",426667,"1"
141,"6",657368,"1"
122,"8",484167,"1"
59,"3",152535,"2"
35,"0",149112,"2"
309,"0",116162,"2"
69,"3",140466,"1"
21,"7",245515,"2"
21,"11",395833,"1"
151,"5",78697,"1"
137,"2",430078,"1"
28,"11",761938,"1"
355,"5",78500,"2"
33,"8",171075,"1"
153,"0",173797,"2"
105,"1",158571,"1"
103,"1",140929,"2"
74,"11",391549,"1"
134,"9",112783,"2"
300,"3",247039,"1"
156,"11",330667,"2"
88,"1",347200,"2"
443,"11",69912,"2"
52,"4",198559,"1"
231,"5",318505,"2"
103,"3",289882,"1"
322,"3",331550,"2"
162,"11",1765745,"2"
90,"5",377710,"1"
195,"0",225833,"1"
86,"3",182500,"2"
115,"6",4e+05,"1"
32,"8",230535,"2"
51,"5",1350000,"1"
144,"3",142024,"2"
166,"5",561111,"1"
56,"5",231667,"2"
122,"9",0,"2"
165,"1",187255,"1"
366,"1",458238,"1"
428,"2",442562,"1"
78,"11",1883334,"2"
81,"8",550000,"2"
40,"4",285000,"2"
172,"4",146526,"2"
33,"8",307083,"1"
240,"1",1537172,"1"
62,"1",143925,"1"
219,"6",137204,"2"
514,"5",158884,"1"
50,"2",98680,"2"
79,"2",243958,"1"
31,"4",258264,"2"
80,"8",367660,"1"
54,"7",80000,"1"
147,"11",184000,"1"
138,"2",129882,"2"
99,"2",75153,"2"
369,"10",260351,"2"
251,"6",3e+05,"1"
94,"5",123840,"1"
68,"9",283333,"2"
49,"11",1190000,"1"
143,"5",1532501,"2"
61,"5",198934,"1"
443,"1",107030,"1"
89,"9",145556,"2"
148,"3",198513,"2"
94,"9",255000,"1"
38,"1",194928,"2"
244,"0",293451,"2"
144,"11",1013333,"2"
81,"5",167333,"1"
66,"3",137758,"2"
107,"5",650000,"2"
56,"3",236157,"2"
105,"0",364932,"2"
111,"10",808467,"1"
131,"5",104038,"2"
146,"5",693334,"1"
337,"3",569459,"1"
173,"1",107035,"2"
66,"2",389167,"1"
64,"2",228526,"2"
311,"1",334592,"2"
108,"3",403688,"2"
93,"11",2108333,"1"
110,"5",215000,"2"
140,"5",300834,"1"
129,"5",424983,"2"
759,"1",251076,"2"
37,"1",180504,"2"
407,"5",312084,"2"
109,"7",224929,"1"
58,"3",161960,"2"
93,"8",219823,"1"
129,"2",217517,"2"
100,"9",277035,"1"
63,"3",275733,"1"
285,"2",164722,"1"
23,"2",214250,"1"
117,"2",190000,"1"
34,"5",259782,"2"
41,"0",281121,"2"
68,"0",154646,"2"
80,"1",200456,"2"
84,"7",309284,"2"
417,"1",293542,"1"
130,"11",3441667,"2"
105,"0",174546,"1"
31,"0",137022,"1"
74,"1",135000,"2"
73,"8",744333,"2"
118,"1",176322,"1"
342,"5",140422,"2"
63,"1",209951,"1"
125,"9",721750,"1"
126,"5",2e+05,"1"
535,"8",108746,"2"
310,"3",389000,"1"
130,"5",155000,"1"
66,"1",1622157,"2"
1413,"0",520834,"1"
92,"2",650192,"2"
40,"5",148285,"1"
75,"6",262075,"2"
191,"5",172307,"1"
52,"1",551000,"1"
159,"9",211406,"2"
96,"1",80002,"2"
126,"8",198162,"1"
449,"1",443333,"2"
72,"0",171486,"2"
102,"0",165000,"1"
68,"1",172015,"1"
455,"5",414678,"2"
74,"8",866667,"1"
173,"3",438815,"2"
180,"5",314792,"2"
56,"5",192857,"1"
392,"6",294739,"1"
468,"5",285000,"1"
151,"2",485417,"1"
103,"2",159953,"2"
91,"5",1067873,"2"
186,"8",202368,"2"
237,"11",920000,"2"
141,"9",90000,"1"
117,"9",172667,"2"
55,"9",137801,"2"
339,"3",233667,"2"
80,"1",318334,"2"
112,"5",609167,"2"
41,"3",160664,"1"
101,"3",305278,"1"
333,"1",171176,"1"
124,"11",2412906,"1"
254,"5",155000,"2"
126,"9",116072,"2"
219,"1",84774,"2"
25,"1",173750,"1"
122,"10",1649667,"1"
65,"5",128770,"1"
296,"8",1031265,"2"
49,"3",612292,"2"
236,"8",200320,"2"
273,"5",328333,"2"
286,"2",73333,"2"
99,"5",247280,"2"
72,"0",101482,"1"
47,"5",74444,"2"
75,"5",110242,"1"
116,"5",230000,"1"
58,"11",508333,"1"
612,"9",639167,"1"
12,"6",393750,"2"
86,"8",261250,"2"
127,"9",291892,"1"
523,"5",330000,"1"
68,"1",157081,"2"
235,"5",252000,"1"
7,"1",95626,"1"
40,"9",733334,"1"
74,"4",856932,"2"
72,"5",184028,"2"
117,"1",143617,"1"
50,"3",283861,"2"
286,"1",314932,"2"
90,"2",269123,"1"
175,"9",440089,"1"
120,"1",235001,"1"
464,"2",2e+05,"1"
273,"11",166667,"2"
443,"11",804663,"2"
30,"0",87755,"1"
154,"5",99167,"1"
107,"11",2266704,"1"
88,"1",249000,"2"
209,"3",90000,"1"
108,"4",70000,"1"
60,"9",245000,"2"
152,"5",318632,"1"
51,"3",1150000,"1"
495,"8",911389,"2"
22,"0",66238,"2"
70,"1",798887,"2"
184,"2",1050417,"2"
80,"3",711000,"2"
152,"1",239055,"2"
30,"6",155000,"2"
156,"11",620556,"2"
512,"4",650000,"2"
149,"5",329572,"2"
140,"9",102500,"2"
148,"0",435000,"2"
26,"2",241111,"1"
140,"3",15073,"2"
102,"4",164331,"1"
36,"4",218971,"2"
38,"7",115105,"1"
202,"8",583833,"1"
74,"5",218684,"2"
151,"1",204687,"2"
100,"5",212500,"1"
70,"5",1409000,"2"
58,"5",160704,"1"
48,"1",256162,"1"
488,"5",275714,"1"
223,"2",112789,"2"
145,"9",319357,"1"
170,"3",360000,"2"
72,"2",149263,"1"
76,"11",1092917,"1"
39,"1",198750,"2"
53,"1",105000,"1"
64,"0",166171,"1"
135,"0",1900000,"1"
97,"2",512902,"1"
415,"5",190278,"2"
48,"1",47198,"2"
27,"2",134565,"1"
110,"0",164966,"1"
36,"1",650000,"1"
323,"8",567222,"2"
114,"1",174932,"1"
117,"8",415412,"2"
126,"1",77323,"2"
474,"3",382679,"1"
85,"11",402039,"2"
74,"5",112535,"2"
150,"3",226000,"1"
30,"1",99580,"1"
70,"1",238752,"1"
455,"5",350000,"2"
20,"1",219888,"1"
225,"1",370000,"1"
488,"1",299705,"2"
192,"1",27692,"2"
73,"3",274951,"2"
199,"8",436498,"2"
212,"11",104794,"1"
568,"5",263422,"1"
190,"5",153426,"2"
77,"0",167717,"1"
493,"8",389057,"2"
429,"3",156827,"1"
136,"0",186000,"1"
114,"5",470000,"1"
87,"9",5e+05,"1"
73,"0",112394,"2"
415,"0",92792,"2"
130,"2",161087,"1"
22,"5",397917,"2"
59,"3",85714,"1"
220,"0",317389,"2"
114,"3",283289,"2"
795,"1",643056,"2"
193,"0",95066,"2"
121,"5",359770,"2"
70,"1",156353,"1"
16,"5",222210,"2"
159,"1",171664,"1"
30,"1",119395,"1"
25,"0",972000,"1"
42,"2",247582,"1"
113,"6",370000,"2"
63,"4",92628,"1"
60,"5",283845,"2"
80,"11",231389,"1"
96,"0",334932,"1"
159,"1",270413,"1"
1438,"8",703833,"1"
427,"3",153474,"2"
392,"1",182990,"1"
679,"9",5e+05,"1"
157,"5",170903,"2"
342,"5",317012,"2"
94,"2",140929,"2"
481,"2",196562,"1"
1086,"5",702875,"1"
290,"1",159722,"2"
56,"5",243125,"2"
66,"11",1499430,"2"
184,"11",483556,"2"
257,"1",144703,"2"
218,"6",355153,"1"
429,"11",543500,"1"
439,"0",175304,"2"
309,"1",231911,"2"
417,"5",221233,"1"
468,"2",350000,"2"
106,"2",124000,"1"
63,"5",656932,"2"
77,"4",143998,"2"
426,"5",356667,"1"
587,"0",352000,"2"
124,"5",140000,"2"
296,"11",745276,"1"
73,"2",193000,"1"
76,"3",161227,"1"
45,"5",298258,"1"
161,"2",319289,"2"
22,"3",268880,"1"
18,"0",679000,"2"
474,"8",279054,"2"
43,"1",220000,"2"
57,"2",280000,"1"
73,"1",118185,"2"
177,"5",302892,"1"
110,"1",186000,"2"
127,"1",150032,"2"
91,"5",264200,"1"
35,"1",107342,"1"
204,"1",72108,"2"
185,"9",1467857,"2"
71,"3",124566,"2"
68,"3",99764,"1"
34,"0",241389,"1"
119,"6",652554,"1"
50,"1",154006,"1"
166,"2",93010,"1"
235,"9",103333,"1"
36,"0",277500,"2"
449,"5",450000,"2"
133,"11",271763,"2"
120,"5",215476,"2"
131,"9",158033,"1"
81,"2",150000,"1"
67,"6",279939,"1"
39,"0",232500,"2"
58,"0",99208,"2"
369,"1",150000,"2"
268,"11",810162,"2"
85,"11",117813,"2"
47,"2",221227,"1"
